epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1008.64,0.28998,0.28342,0.25016,0.88147,0.99574,1,0.995,0.96569,0.99574,1,0.995,0.94467,0.31085,0.17531,0.27026,0.63248,0.000346736,0.000346736,0.000346736
42,1033.09,0.29709,0.28311,0.2432,0.87733,0.99609,1,0.995,0.96296,0.99609,1,0.995,0.95189,0.31324,0.17392,0.26655,0.63442,0.000313729,0.000313729,0.000313729
43,1058.02,0.28672,0.26679,0.23321,0.87811,0.99563,1,0.995,0.96695,0.99563,1,0.995,0.95308,0.31038,0.18507,0.26554,0.60884,0.000280723,0.000280723,0.000280723
44,1082.96,0.27149,0.27541,0.2251,0.86632,0.9969,1,0.995,0.97005,0.9969,1,0.995,0.95357,0.28861,0.186,0.21954,0.60656,0.000247716,0.000247716,0.000247716
45,1107.71,0.2703,0.25376,0.21723,0.86907,0.99655,1,0.995,0.96628,0.99655,1,0.995,0.95766,0.31829,0.17887,0.21912,0.62914,0.00021471,0.00021471,0.00021471
46,1132.7,0.26118,0.25741,0.21117,0.87121,0.99659,1,0.995,0.97676,0.99659,1,0.995,0.95778,0.29472,0.17516,0.20741,0.62838,0.000181703,0.000181703,0.000181703
47,1158.82,0.24849,0.24951,0.19808,0.87014,0.99667,1,0.995,0.97262,0.99667,1,0.995,0.96109,0.29316,0.17124,0.21106,0.61249,0.000148696,0.000148696,0.000148696
48,1183.46,0.23965,0.25151,0.19416,0.87422,0.997,1,0.995,0.97428,0.997,1,0.995,0.95955,0.2694,0.17459,0.20329,0.61529,0.00011569,0.00011569,0.00011569
49,1211.19,0.2367,0.24253,0.19612,0.85985,0.9968,1,0.995,0.98154,0.9968,1,0.995,0.95123,0.26319,0.17571,0.20375,0.62475,8.26832e-05,8.26832e-05,8.26832e-05
50,1235.76,0.23467,0.24994,0.19192,0.85874,0.9969,1,0.995,0.98277,0.9969,1,0.995,0.957,0.26772,0.17176,0.1929,0.61755,4.96766e-05,4.96766e-05,4.96766e-05
