epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2601.37,0.80997,0.41713,0.9029,0.66685,0.63881,0.62963,0.4357,0.86615,0.41186,0.93027,0.00140295,0.00140295,0.00140295
66,2640.26,0.7991,0.41351,0.90525,0.7068,0.63477,0.6308,0.44802,0.88981,0.40934,0.94911,0.00139882,0.00139882,0.00139882
67,2679.3,0.79714,0.41829,0.8978,0.86449,0.65642,0.67825,0.4507,0.87018,0.42404,0.93484,0.0013947,0.0013947,0.0013947
68,2718.37,0.78905,0.40943,0.89415,0.98464,0.66779,0.70504,0.47607,0.88621,0.40924,0.94452,0.00139057,0.00139057,0.00139057
69,2757.49,0.78159,0.40454,0.89578,0.97802,0.59813,0.64621,0.45231,0.92211,0.42782,0.95645,0.00138644,0.00138644,0.00138644
70,2796.75,0.78403,0.40734,0.89542,0.8692,0.67049,0.6738,0.46326,0.87679,0.39766,0.94504,0.00138232,0.00138232,0.00138232
71,2836.1,0.76533,0.39878,0.89222,0.95491,0.63612,0.64753,0.47876,0.89495,0.40753,0.95645,0.00137819,0.00137819,0.00137819
72,2875.47,0.77515,0.40697,0.89903,0.97896,0.59367,0.65217,0.44906,0.90493,0.41027,0.96777,0.00137407,0.00137407,0.00137407
73,2914.76,0.76145,0.40125,0.89348,0.86662,0.67049,0.67595,0.46451,0.89777,0.41883,0.96319,0.00136994,0.00136994,0.00136994
74,2954.23,0.76278,0.40208,0.89073,0.79918,0.63914,0.67448,0.4553,0.87768,0.41386,0.96613,0.00136581,0.00136581,0.00136581
75,2996.67,0.78482,0.4058,0.89078,0.76052,0.70658,0.68876,0.468,0.89972,0.42158,0.94582,0.00136169,0.00136169,0.00136169
76,3035.83,0.76269,0.40796,0.88322,0.83525,0.67201,0.69148,0.48441,0.88999,0.41371,0.94686,0.00135756,0.00135756,0.00135756
77,3074.84,0.76363,0.41056,0.89756,0.77498,0.63342,0.66783,0.46523,0.89008,0.42493,0.95221,0.00135344,0.00135344,0.00135344
78,3114.16,0.75613,0.40381,0.89362,0.98664,0.60017,0.64963,0.46148,0.85216,0.39948,0.93326,0.00134931,0.00134931,0.00134931
79,3153.52,0.75254,0.39435,0.87941,0.78241,0.63477,0.65599,0.4591,0.89772,0.40115,0.95631,0.00134519,0.00134519,0.00134519
80,3192.88,0.74785,0.39107,0.884,0.76008,0.66914,0.6496,0.45383,0.86721,0.41309,0.93751,0.00134106,0.00134106,0.00134106
81,3231.9,0.75549,0.39644,0.88705,0.85178,0.66779,0.67686,0.45894,0.91898,0.42157,0.95692,0.00133693,0.00133693,0.00133693
82,3270.84,0.74235,0.39051,0.87933,0.75264,0.67049,0.65698,0.45681,0.88793,0.40143,0.95114,0.00133281,0.00133281,0.00133281
83,3312.64,0.73617,0.38946,0.88364,0.87766,0.66299,0.68826,0.47607,0.87498,0.40183,0.94192,0.00132868,0.00132868,0.00132868
84,3351.72,0.72547,0.39862,0.88513,0.83578,0.66803,0.67167,0.47601,0.89182,0.40586,0.94216,0.00132456,0.00132456,0.00132456
85,3390.82,0.76317,0.40502,0.88717,0.96591,0.63477,0.66239,0.46758,0.87912,0.41253,0.93264,0.00132043,0.00132043,0.00132043
86,3429.94,0.7271,0.39229,0.88694,0.96188,0.60175,0.65329,0.44648,0.87281,0.39955,0.94078,0.0013163,0.0013163,0.0013163
87,3469.09,0.7349,0.3808,0.87934,0.68295,0.66007,0.63904,0.44376,0.8758,0.4047,0.95173,0.00131218,0.00131218,0.00131218
88,3508.31,0.7378,0.3826,0.88495,0.96825,0.63456,0.65918,0.4668,0.88661,0.40067,0.94667,0.00130805,0.00130805,0.00130805
89,3547.46,0.72735,0.37743,0.87323,0.94234,0.6004,0.64856,0.46031,0.89321,0.39831,0.95481,0.00130393,0.00130393,0.00130393
90,3586.65,0.73671,0.3888,0.87488,0.83541,0.67049,0.70108,0.47735,0.90067,0.39395,0.95482,0.0012998,0.0012998,0.0012998
91,3627.72,0.72064,0.38004,0.87231,0.98454,0.66957,0.69128,0.48563,0.89922,0.39734,0.95298,0.00129568,0.00129568,0.00129568
92,3666.72,0.7343,0.37949,0.88091,0.80766,0.59906,0.62649,0.45473,0.87575,0.40551,0.9506,0.00129155,0.00129155,0.00129155
93,3705.76,0.73379,0.3797,0.87079,0.8506,0.59771,0.60363,0.43885,0.86739,0.39917,0.94402,0.00128742,0.00128742,0.00128742
94,3744.76,0.73331,0.37251,0.87881,0.9677,0.63073,0.68826,0.47346,0.8877,0.40163,0.94538,0.0012833,0.0012833,0.0012833
95,3783.85,0.69869,0.36747,0.86773,0.82685,0.63342,0.64861,0.46255,0.87519,0.39678,0.94169,0.00127917,0.00127917,0.00127917
96,3822.93,0.70691,0.37123,0.87965,0.84225,0.59771,0.61522,0.44294,0.86723,0.38948,0.94489,0.00127505,0.00127505,0.00127505
97,3861.98,0.69262,0.3641,0.86595,0.91357,0.59771,0.63442,0.46405,0.87523,0.38217,0.95091,0.00127092,0.00127092,0.00127092
98,3901.11,0.68435,0.35796,0.87053,0.97344,0.59636,0.62482,0.44538,0.87499,0.38921,0.94578,0.00126679,0.00126679,0.00126679
99,3941.97,0.71242,0.3674,0.86489,0.92946,0.66779,0.71013,0.48764,0.92792,0.40936,0.95345,0.00126267,0.00126267,0.00126267
100,3981.32,0.70409,0.36498,0.86349,0.97599,0.596,0.65212,0.44652,0.87973,0.40451,0.93547,0.00125854,0.00125854,0.00125854
