epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,393.186,1.49927,0.7843,0.92396,0.87535,0.79031,0.87502,0.41349,1.78792,0.80718,0.98219,0.000219198,0.000219198,0.000219198
72,398.046,1.49664,0.78257,0.92174,0.87393,0.7822,0.86144,0.41578,1.77007,0.79522,0.98067,0.000212129,0.000212129,0.000212129
73,402.936,1.49023,0.77731,0.92599,0.87991,0.82891,0.89346,0.42443,1.7596,0.79187,0.97968,0.000205061,0.000205061,0.000205061
74,407.848,1.47509,0.77516,0.92327,0.84805,0.82563,0.87729,0.42295,1.77094,0.7874,0.98383,0.000197992,0.000197992,0.000197992
75,413.086,1.46375,0.76719,0.9191,0.90735,0.77846,0.87326,0.40768,1.79381,0.81093,0.98475,0.000190924,0.000190924,0.000190924
76,418.037,1.45544,0.76305,0.91765,0.89723,0.79329,0.87426,0.41771,1.77461,0.81219,0.98073,0.000183855,0.000183855,0.000183855
77,422.904,1.46111,0.76706,0.9179,0.90592,0.76599,0.87526,0.42507,1.75769,0.80297,0.97686,0.000176786,0.000176786,0.000176786
78,427.71,1.46087,0.75861,0.92096,0.86796,0.8115,0.87839,0.41293,1.78221,0.7913,0.98529,0.000169718,0.000169718,0.000169718
79,434.727,1.4649,0.7623,0.92047,0.86507,0.79785,0.86693,0.41905,1.75964,0.78869,0.98296,0.000162649,0.000162649,0.000162649
80,442.694,1.45157,0.75311,0.91559,0.87533,0.80293,0.88264,0.42227,1.77294,0.7802,0.9852,0.000155581,0.000155581,0.000155581
81,450.09,1.46259,0.76037,0.91945,0.86071,0.80685,0.87501,0.41406,1.77049,0.79866,0.98041,0.000148512,0.000148512,0.000148512
82,455.716,1.44831,0.75516,0.91367,0.87844,0.79356,0.87388,0.42325,1.75858,0.7836,0.98196,0.000141443,0.000141443,0.000141443
